bait,prey,complex,n_complex
Smd2,Prp9,U2 snRNP complex,18
Smd2,Prp11,U2 snRNP complex,18
Smd2,Prp21,U2 snRNP complex,18
Smd2,Cus1,U2 snRNP complex,18
Smd2,Cus2,U2 snRNP complex,18
Smd2,Smb1,U2 snRNP complex,18
Smd2,Smd1,U2 snRNP complex,18
Smd2,Smd3,U2 snRNP complex,18
Smd2,Sme1,U2 snRNP complex,18
Smd2,Smx2,U2 snRNP complex,18
Smd2,Smx3,U2 snRNP complex,18
Smd3,Lea1,U2 snRNP complex,18
Smd3,Msl1,U2 snRNP complex,18
Smd3,Rse1,U2 snRNP complex,18
Smd3,Hsh155,U2 snRNP complex,18
Smd3,Ist3,U2 snRNP complex,18
Smd3,Hsh49,U2 snRNP complex,18
Smd3,Prp9,U2 snRNP complex,18
Smd3,Prp11,U2 snRNP complex,18
Smd3,Prp21,U2 snRNP complex,18
Smd3,Cus1,U2 snRNP complex,18
Smd3,Cus2,U2 snRNP complex,18
Smd3,Smb1,U2 snRNP complex,18
Smd3,Smd1,U2 snRNP complex,18
Smd3,Smd2,U2 snRNP complex,18
Smd3,Sme1,U2 snRNP complex,18
Smd3,Smx2,U2 snRNP complex,18
Smd3,Smx3,U2 snRNP complex,18
Sme1,Lea1,U2 snRNP complex,18
Sme1,Msl1,U2 snRNP complex,18
Sme1,Rse1,U2 snRNP complex,18
Sme1,Hsh155,U2 snRNP complex,18
Sme1,Ist3,U2 snRNP complex,18
Sme1,Hsh49,U2 snRNP complex,18
Sme1,Prp9,U2 snRNP complex,18
Sme1,Prp11,U2 snRNP complex,18
Sme1,Prp21,U2 snRNP complex,18
Sme1,Cus1,U2 snRNP complex,18
Sme1,Cus2,U2 snRNP complex,18
Sme1,Smb1,U2 snRNP complex,18
Sme1,Smd1,U2 snRNP complex,18
Sme1,Smd2,U2 snRNP complex,18
