"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","value_count_RNase"
"YLR029C;YMR121C","RPL15A","RPL15A",-3.58004750885915,3.42364915932349,NA,22.3528592039693,22.8656509704741,22.787538339768,23.7769578111184,22.3528592039693,22.8656509704741,22.787538339768,3,26.7411116361288,26.5454243207506,26.2908613136954,26.7411116361288,26.5454243207506,26.2908613136954,3
"YOR063W","RPL3","RPL3",-2.7857713381952,3.28445622050096,25.7780869579774,26.819581154727,25.6935718197178,25.6931995799338,25.7780869579774,26.819581154727,25.6935718197178,25.6931995799338,4,29.0601558334205,28.5321133817263,28.7533744337058,29.0601558334205,28.5321133817263,28.7533744337058,3
"YNL069C","RPL16B","RPL16B",-1.1149480018016,3.27094749230345,26.3088311659626,26.4007545124456,26.6447144718144,26.2754560257526,26.3088311659626,26.4007545124456,26.6447144718144,26.2754560257526,4,27.6091472814896,27.3321918831615,27.6258219727351,27.6091472814896,27.3321918831615,27.6258219727351,3
"YER117W;YBL087C","RPL23B","RPL23B",-2.6684655002644,3.25789937533461,NA,23.008093460754,23.0195235402299,22.8098034484365,23.7625900660325,23.008093460754,23.0195235402299,22.8098034484365,3,26.2756513865438,25.5302612978508,25.6494917029882,26.2756513865438,25.5302612978508,25.6494917029882,3
"YIL133C","RPL16A","RPL16A",-1.44123845489013,3.2570037263371,25.9382032127184,26.0760432774382,26.2299519549134,26.10097250347,25.9382032127184,26.0760432774382,26.2299519549134,26.10097250347,4,27.6119632586504,27.3310814935071,27.6395488239178,27.6119632586504,27.3310814935071,27.6395488239178,3
"YDR012W;YBR031W","RPL4B","RPL4B",-1.62528520229736,3.25645837538958,26.8200683048383,27.4818536184126,26.9369685570668,26.8868116172609,26.8200683048383,27.4818536184126,26.9369685570668,26.8868116172609,4,28.9251580242071,28.4617798026241,28.5831943532448,28.9251580242071,28.4617798026241,28.5831943532448,3
"YOL040C","RPS15","RPS15",-2.36718561147345,3.23605521362864,NA,24.7878571365797,23.9767493987126,24.1361005891096,23.7908073795427,24.7878571365797,23.9767493987126,24.1361005891096,3,26.8569746524655,26.1521693910836,26.6110486688296,26.8569746524655,26.1521693910836,26.6110486688296,3
"YGR027C","RPS25A","RPS25A",-1.93796067557001,3.07320609958799,24.5266544465874,25.4607335962958,25.0040174193939,25.1315549360458,24.5266544465874,25.4607335962958,25.0040174193939,25.1315549360458,4,26.9541583183643,26.8414616530942,27.1104823539937,26.9541583183643,26.8414616530942,27.1104823539937,3
"YML024W;YDR447C","RPS17A","RPS17A",-6.39599639059233,3.00344473410946,NA,22.3924159572831,21.1679081084925,21.6018650734317,23.7310086042421,22.3924159572831,21.1679081084925,21.6018650734317,3,28.8677647993757,28.4319324583057,28.5581902216825,28.8677647993757,28.4319324583057,28.5581902216825,3
"YLR325C","RPL38","RPL38",-1.81904856998915,2.9677445734692,25.2468811899368,25.4459433579466,24.8069554739106,25.2581418693447,25.2468811899368,25.4459433579466,24.8069554739106,25.2581418693447,4,27.2589864807292,26.6691201393325,27.0974805082599,27.2589864807292,26.6691201393325,27.0974805082599,3
"YML026C;YDR450W","RPS18B","RPS18B",-1.61631059652759,2.87421269190392,27.5132964107787,27.773918912738,27.6355413351163,27.7654706459933,27.5132964107787,27.773918912738,27.6355413351163,27.7654706459933,4,29.4966325562235,29.0696611415887,29.2988085702403,29.4966325562235,29.0696611415887,29.2988085702403,3
"YLR167W","RPS31","RPS31",-1.3886026791837,2.87412046276605,26.5371814240263,26.1723980549001,26.3307567565859,26.1644787066278,26.5371814240263,26.1723980549001,26.3307567565859,26.1644787066278,4,27.5862761938444,27.5321505478251,27.9509925024867,27.5862761938444,27.5321505478251,27.9509925024867,3
"YPL131W","RPL5","RPL5",-2.71037209879732,2.84820785430919,NA,25.4566978205281,24.9354855741976,24.6338382393317,23.8172557861338,25.4566978205281,24.9354855741976,24.6338382393317,3,27.5024868246528,27.0324411217992,27.7286464150833,27.5024868246528,27.0324411217992,27.7286464150833,3
"YBL092W","RPL32","RPL32",-5.49196070034031,2.82783146267455,NA,NA,NA,NA,23.7615042805907,21.5831714991285,21.5882317693117,21.3900519179587,0,27.8535284866503,27.3661134017737,27.4984598128391,27.8535284866503,27.3661134017737,27.4984598128391,3
"YLR441C","RPS1A","RPS1A",-4.54171063247512,2.81286228719042,25.6433387731874,25.2161567305871,23.8713593242248,23.9159756346348,25.6433387731874,25.2161567305871,23.8713593242248,23.9159756346348,4,29.3979101888973,29.1115274065863,29.1008171489173,29.3979101888973,29.1115274065863,29.1008171489173,3
