source,target,Functionality
Cbc2,Brr2,Multiple
Cbc2,Yhc1,Multiple
Cbc2,Luc7,Multiple
Cbc2,Kap95,Multiple
Cbc2,Snu56,Multiple
Cbc2,Snu114,Multiple
Cbc2,Cct7,Multiple
Cbc2,Rsm26,Multiple
Cbc2,Nrd1,Multiple
Cbc2,Tif4631,Multiple
Cbc2,Srp1,Multiple
Cbc2,Ypk1,Multiple
Cbc2,Snp1,Multiple
Cbc2,Yhb1,Multiple
Cbc2,Prp19,Multiple
Cbc2,Smd2,Multiple
Cbc2,Cdc11,Multiple
Cbc2,Prp8,Multiple
Cbc2,Csr1,Multiple
Cbc2,Prp42,Multiple
Cbc2,Erg1,Multiple
Cbc2,Erg6,Multiple
Cbc2,Smb1,Multiple
Cbc2,Nop12,Multiple
Cbc2,Nab3,Multiple
Cbc2,Tma22,Multiple
Cbc2,Pap2,Multiple
Cbc2,Ubc4,Multiple
Cbc2,Lsg1,Multiple
Cbc2,Fpr3,Multiple
Cbc2,Ade3,Multiple
Mtr4,Air2,Multiple
Mtr4,Pap2,Multiple
Mtr4,Rbg2,Multiple
Mtr4,Trf5,Multiple
Mtr4,Hog1,Multiple
Mtr4,Nrd1,Multiple
Mtr4,Nop4,Multiple
Mtr4,Air1,Multiple
Mtr4,Sqs1,Multiple
Mtr4,Srp68,Multiple
Mtr4,Ubp3,Multiple
Mtr4,Cic1,Multiple
Mtr4,Noc3,Multiple
Mtr4,Rpp2a,Multiple
Mtr4,Utp15,Multiple
Mtr4,Ecm29,Multiple
Mtr4,Utp6,Multiple
